1929	7th Heaven	Sorrell and Son
1929	7th Heaven	The Crowd
1929	7th Heaven	The Jazz Singer
1929	7th Heaven	Glorious Betsy
1929	Engineering Effects	Wings
1929	Engineering Effects	
1929	Engineering Effects	
1929	Outstanding Picture	Wings
1929	Outstanding Picture	The Racket
1929	Writing (Original Story)	Underworld
1929	Writing (Original Story)	The Last Command
1929	Actress	Janet Gaynor
1929	Actress	Janet Gaynor
1929	Actress	Janet Gaynor
1929	Actress	Louise Dresser
1929	Actress	Gloria Swanson
1929	Cinematography	Sunrise
1929	Cinematography	Sunrise
1929	Cinematography	The Devil Dancer
1929	Cinematography	The Magic Flame
1929	Cinematography	Sadie Thompson
1929	Special Award	The Circus
1929	Special Award	The Jazz Singer
1929	Writing (Title Writing)	
1929	Writing (Title Writing)	The Private Life of Helen of Troy
1929	Writing (Title Writing)	
1929	Unique and Artistic Picture	Sunrise
1929	Unique and Artistic Picture	The Crowd
1929	Unique and Artistic Picture	Chang
1929	Directing (Comedy Picture)	Two Arabian Knights
1929	Directing (Comedy Picture)	Speedy
1929	Actor	Emil Jannings
1929	Actor	Emil Jannings
1929	Actor	Richard Barthelmess
1929	Actor	Richard Barthelmess
1929	Art Direction	The Dove
1929	Art Direction	Tempest
1929	Art Direction	Sunrise
1930	Outstanding Picture	The Broadway Melody
1930	Outstanding Picture	Alibi
1930	Outstanding Picture	In Old Arizona
1930	Outstanding Picture	Hollywood Revue
1930	Outstanding Picture	The Patriot
1930	Directing	The Divine Lady
1930	Directing	Madame X
1930	Directing	The Broadway Melody
1930	Directing	In Old Arizona
1930	Directing	Drag
1930	Directing	Weary River
1930	Directing	The Patriot
1930	Actress	Mary Pickford
1930	Actress	Ruth Chatterton
1930	Actress	Betty Compson
1930	Actress	Jeanne Eagels
1930	Actress	Corinne Griffith
1930	Actress	Bessie Love
1930	Writing	The Patriot
1930	Writing	The Valiant
1930	Writing	In Old Arizona
1930	Writing	The Leatherneck
1930	Writing	Sal of Singapore
1930	Writing	Skyscraper
1930	Writing	The Cop
1930	Writing	The Last of Mrs. Cheyney
1930	Writing	Our Dancing Daughters
1930	Writing	Wonder of Women
1930	Writing	A Woman of Affairs
1930	Cinematography	White Shadows in the South Seas
1930	Cinematography	Our Dancing Daughters
1930	Cinematography	In Old Arizona
1930	Cinematography	Four Devils
1930	Cinematography	Street Angel
1930	Cinematography	The Divine Lady
1930	Actor	Warner Baxter
1930	Actor	George Bancroft
1930	Actor	Chester Morris
1930	Actor	Paul Muni
1930	Actor	Lewis Stone
1930	Art Direction	The Bridge of San Luis Rey
1930	Art Direction	Alibi
1930	Art Direction	The Awakening
1930	Art Direction	Street Angel
1930	Art Direction	The Patriot
1930	Art Direction	Dynamite
1931	Outstanding Production	All Quiet on the Western Front
1931	Outstanding Production	The Big House
1931	Outstanding Production	Disraeli
1931	Outstanding Production	The Divorcee
1931	Outstanding Production	The Love Parade
1931	Directing	All Quiet on the Western Front
1931	Directing	Anna Christie
1931	Directing	Romance
1931	Directing	The Divorcee
1931	Directing	The Love Parade
1931	Directing	Hallelujah
1931	Actress	Norma Shearer
1931	Actress	Nancy Carroll
1931	Actress	Ruth Chatterton
1931	Actress	Greta Garbo
1931	Actress	Greta Garbo
1931	Actress	Norma Shearer
1931	Actress	Gloria Swanson
1931	Writing	The Big House
1931	Writing	All Quiet on the Western Front
1931	Writing	Disraeli
1931	Writing	The Divorcee
1931	Writing	Street of Chance
1931	Cinematography	With Byrd at the South Pole
1931	Cinematography	All Quiet on the Western Front
1931	Cinematography	Anna Christie
1931	Cinematography	Hell's Angels
1931	Cinematography	The Love Parade
1931	Sound Recording	The Big House
1931	Sound Recording	The Case of Sergeant Grischa
1931	Sound Recording	The Love Parade
1931	Sound Recording	Raffles
1931	Sound Recording	Song of the Flame
1931	Actor	George Arliss
1931	Actor	Maurice Chevalier
1931	Actor	Ronald Colman
1931	Actor	Ronald Colman
1931	Actor	Lawrence Tibbett
1931	Actor	George Arliss
1931	Actor	Wallace Beery
1931	Actor	Maurice Chevalier
1931	Art Direction	King of Jazz
1931	Art Direction	Bulldog Drummond
1931	Art Direction	The Love Parade
1931	Art Direction	Sally
1931	Art Direction	The Vagabond King
1932	Writing (Adaptation)	Cimarron
1932	Writing (Adaptation)	The Criminal Code
1932	Writing (Adaptation)	Holiday
1932	Writing (Adaptation)	Little Caesar
1932	Writing (Adaptation)	Skippy
1932	Outstanding Production	Cimarron
1932	Outstanding Production	East Lynne
1932	Outstanding Production	The Front Page
1932	Outstanding Production	Skippy
1932	Outstanding Production	Trader Horn
1932	Writing (Original Story)	The Dawn Patrol
1932	Writing (Original Story)	The Doorway to Hell
1932	Writing (Original Story)	Laughter
1932	Writing (Original Story)	The Public Enemy
1932	Writing (Original Story)	Smart Money
1932	Directing	Skippy
1932	Directing	Cimarron
1932	Directing	A Free Soul
1932	Directing	The Front Page
1932	Directing	Morocco
1932	Actress	Marie Dressler
1932	Actress	Marlene Dietrich
1932	Actress	Irene Dunne
1932	Actress	Ann Harding
1932	Actress	Norma Shearer
1932	Cinematography	Tabu
1932	Cinematography	Svengali
1932	Cinematography	Cimarron
1932	Cinematography	Morocco
1932	Cinematography	The Right to Love
1932	Sound Recording	
1932	Sound Recording	
1932	Sound Recording	
1932	Sound Recording	
1932	Actor	Lionel Barrymore
1932	Actor	Richard Dix
1932	Actor	Fredric March
1932	Actor	Adolphe Menjou
1932	Actor	Jackie Cooper
1932	Art Direction	Cimarron
1932	Art Direction	Just Imagine
1932	Art Direction	Morocco
1932	Art Direction	Svengali
1932	Art Direction	Whoopee!
1933	Writing (Adaptation)	Bad Girl
1933	Writing (Adaptation)	Dr. Jekyll and Mr. Hyde
1933	Writing (Adaptation)	Arrowsmith
1933	Short Subject (Novelty)	Wrestling Swordfish
1933	Short Subject (Novelty)	Screen Souvenirs
1933	Short Subject (Novelty)	Swing High
1933	Outstanding Production	Grand Hotel
1933	Outstanding Production	The Smiling Lieutenant
1933	Outstanding Production	Arrowsmith
1933	Outstanding Production	Bad Girl
1933	Outstanding Production	The Champ
1933	Outstanding Production	Five Star Final
1933	Outstanding Production	One Hour with You
1933	Outstanding Production	Shanghai Express
1933	Short Subject (Comedy)	The Music Box
1933	Short Subject (Comedy)	The Loud Mouth
1933	Short Subject (Comedy)	Scratch-As-Catch-Can
1933	Writing (Original Story)	The Champ
1933	Writing (Original Story)	Lady and Gent
1933	Writing (Original Story)	The Star Witness
1933	Writing (Original Story)	What Price Hollywood?
1933	Directing	Bad Girl
1933	Directing	The Champ
1933	Directing	Shanghai Express
1933	Actress	Helen Hayes
1933	Actress	Marie Dressler
1933	Actress	Lynn Fontanne
1933	Cinematography	Shanghai Express
1933	Cinematography	Arrowsmith
1933	Cinematography	Dr. Jekyll and Mr. Hyde
1933	Sound Recording	
1933	Sound Recording	
1933	Sound Recording	
1933	Sound Recording	
1933	Actor	Wallace Beery
1933	Actor	Fredric March
1933	Actor	Alfred Lunt
1933	Short Subject (Cartoon)	Flowers and Trees
1933	Short Subject (Cartoon)	It's Got Me Again
1933	Short Subject (Cartoon)	Mickey's Orphans
1933	Art Direction	Transatlantic
1933	Art Direction	
1933	Art Direction	Arrowsmith
1934	Writing (Adaptation)	Little Women
1934	Writing (Adaptation)	Lady for a Day
1934	Writing (Adaptation)	State Fair
1934	Short Subject (Novelty)	Krakatoa
1934	Short Subject (Novelty)	Menu
1934	Short Subject (Novelty)	The Sea
1934	Outstanding Production	Cavalcade
1934	Outstanding Production	A Farewell to Arms
1934	42nd Street	I Am a Fugitive from a Chain Gang
1934	42nd Street	Lady for a Day
1934	42nd Street	Little Women
1934	42nd Street	The Private Life of Henry VIII
1934	42nd Street	She Done Him Wrong
1934	42nd Street	Smilin' Through
1934	42nd Street	State Fair
1934	42nd Street	Gold Diggers of 1933
1934	42nd Street	I Am a Fugitive from a Chain Gang
1934	Short Subject (Comedy)	So This Is Harris
1934	Short Subject (Comedy)	Mister Mugg
1934	Short Subject (Comedy)	A Preferred List
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Assistant Director	
1934	Writing (Original Story)	One Way Passage
1934	Writing (Original Story)	The Prizefighter and the Lady
1934	Writing (Original Story)	Rasputin and the Empress
1934	Directing	Cavalcade
1934	Directing	Lady for a Day
1934	Directing	Little Women
1934	Actress	Katharine Hepburn
1934	Actress	May Robson
1934	Actress	Diana Wynyard
1934	Cinematography	A Farewell to Arms
1934	Cinematography	Reunion in Vienna
1934	Cinematography	The Sign of the Cross
1934	Sound Recording	A Farewell to Arms
1934	Actor	Charles Laughton
1934	Actor	Leslie Howard
1934	Actor	Paul Muni
1934	Short Subject (Cartoon)	The Three Little Pigs
1934	Short Subject (Cartoon)	Building a Building
1934	Short Subject (Cartoon)	The Merry Old Soul
1934	Art Direction	Cavalcade
1934	Art Direction	A Farewell to Arms
1934	Art Direction	When Ladies Meet
1935	Writing (Adaptation)	It Happened One Night
1935	Writing (Adaptation)	The Thin Man
1935	Writing (Adaptation)	Viva Villa!
1935	Short Subject (Novelty)	City of Wax
1935	Short Subject (Novelty)	Bosom Friends
1935	Short Subject (Novelty)	Strikes and Spares
1935	Film Editing	Eskimo
1935	Film Editing	Cleopatra
1935	Film Editing	One Night of Love
1935	Outstanding Production	It Happened One Night
1935	Outstanding Production	The House of Rothschild
1935	Outstanding Production	Imitation of Life
1935	Outstanding Production	One Night of Love
1935	Outstanding Production	The Thin Man
1935	Outstanding Production	Viva Villa!
1935	Outstanding Production	The White Parade
1935	Outstanding Production	The Barretts of Wimpole Street
1935	Outstanding Production	Cleopatra
1935	Outstanding Production	Flirtation Walk
1935	Outstanding Production	The Gay Divorcee
1935	Outstanding Production	Here Comes the Navy
1935	Short Subject (Comedy)	La Cucaracha
1935	Short Subject (Comedy)	Men in Black
1935	Short Subject (Comedy)	What, No Men!
1935	Assistant Director	Viva Villa!
1935	Assistant Director	Cleopatra
1935	Assistant Director	Imitation of Life
1935	Writing (Original Story)	Manhattan Melodrama
1935	Writing (Original Story)	Hide-Out
1935	Writing (Original Story)	The Richest Girl in the World
1935	Directing	It Happened One Night
1935	Directing	One Night of Love
1935	Directing	The Thin Man
1935	Actress	Claudette Colbert
1935	Actress	Bette Davis
1935	Actress	Grace Moore
1935	Actress	Norma Shearer
1935	Music (Song)	The Gay Divorcee
1935	Music (Song)	Flying Down to Rio
1935	Music (Song)	She Loves Me Not
1935	Cinematography	Cleopatra
1935	Cinematography	The Affairs of Cellini
1935	Cinematography	Operator 13
1935	Sound Recording	One Night of Love
1935	Sound Recording	The Affairs of Cellini
1935	Sound Recording	Cleopatra
1935	Sound Recording	Flirtation Walk
1935	Sound Recording	The Gay Divorcee
1935	Sound Recording	Imitation of Life
1935	Sound Recording	Viva Villa!
1935	Sound Recording	The White Parade
1935	Actor	Clark Gable
1935	Actor	Frank Morgan
1935	Actor	William Powell
1935	Music (Scoring)	One Night of Love
1935	Music (Scoring)	The Gay Divorcee
1935	Music (Scoring)	The Lost Patrol
1935	Short Subject (Cartoon)	The Tortoise and the Hare
1935	Short Subject (Cartoon)	Holiday Land
1935	Short Subject (Cartoon)	Jolly Little Elves
1935	Art Direction	The Merry Widow
1935	Art Direction	The Affairs of Cellini
1935	Art Direction	The Gay Divorcee
1936	Short Subject (Novelty)	Wings over Mt. Everest
1936	Short Subject (Novelty)	Audioscopiks
1936	Short Subject (Novelty)	Camera Thrills
1936	Film Editing	A Midsummer Night's Dream
1936	Film Editing	David Copperfield
1936	Film Editing	The Informer
1936	Film Editing	Les Miserables
1936	Film Editing	The Lives of a Bengal Lancer
1936	Film Editing	Mutiny on the Bounty
1936	Outstanding Production	Mutiny on the Bounty
1936	Outstanding Production	Naughty Marietta
1936	Outstanding Production	Ruggles of Red Gap
1936	Outstanding Production	Top Hat
1936	Outstanding Production	Alice Adams
1936	Outstanding Production	Broadway Melody of 1936
1936	Outstanding Production	Captain Blood
1936	Outstanding Production	David Copperfield
1936	Outstanding Production	The Informer
1936	Outstanding Production	Les Miserables
1936	Outstanding Production	The Lives of a Bengal Lancer
1936	Outstanding Production	A Midsummer Night's Dream
1936	Short Subject (Comedy)	How to Sleep
1936	Short Subject (Comedy)	Oh, My Nerves
1936	Short Subject (Comedy)	Tit for Tat
1936	Dance Direction	Broadway Melody of 1936
1936	Dance Direction	Folies Bergere
1936	Dance Direction	King of Burlesque
1936	Dance Direction	Top Hat
1936	Dance Direction	Top Hat
1936	Dance Direction	Big Broadcast of 1936
1936	Dance Direction	All the King's Horses
1936	Dance Direction	She
1936	Dance Direction	Gold Diggers of 1935
1936	Dance Direction	Gold Diggers of 1935
1936	Dance Direction	Go into Your Dance
1936	Dance Direction	Broadway Hostess
1936	Dance Direction	King of Burlesque
1936	Assistant Director	The Lives of a Bengal Lancer
1936	Assistant Director	David Copperfield
1936	Assistant Director	Les Miserables
1936	Assistant Director	A Midsummer Night's Dream
1936	Writing (Original Story)	The Scoundrel
1936	Writing (Original Story)	Broadway Melody of 1936
1936	Writing (Original Story)	G-Men
1936	Writing (Original Story)	The Gay Deception
1936	Directing	The Informer
1936	Directing	Captain Blood
